variable,corr_linear,corr_exponencial,corr_logaritmica,corr_potencia,Relation
wSdir_5_av,-0.11102182842688295,0.05595115507377123,-0.04597906809918053,-0.1357053145660779,Relação Potência
sW_289_av,-0.1584406218812976,0.01834138530022334,-0.08264899636894786,-0.2123693092303023,Relação Potência
HDW_av,0.3654078683851813,-0.0075471209682026,-0.026656889324428626,0.3720631252108731,Relação Potência
vwv_500_av,-0.10151759510227945,-0.004262978227124346,-0.03506315008947454,-0.1275812785442436,Relação Potência
CBH_m_av,0.11986595338885492,0.039490514255391386,0.004643872776250991,0.114227130444235,Relação Linear
wSv_9_av,0.03510625873709697,0.04490615957825863,0.06996044837730304,0.23617434655225641,Relação Potência
vwv_700_av,0.004267810689695773,0.051456225549075515,0.02821024759298931,0.07873545932308174,Relação Potência
8_ny_fir_p,-0.0031187150645804636,-0.011714512066533492,-0.018330424757595293,0.01619692872147497,Relação Logarítmica
gT_8_7_av,-0.06104887193509802,-0.057209863555600704,0.028735088988227124,-0.08598058324740772,Relação Potência
LiftIdx_av,-0.1936538320322947,-0.1351017883589529,0.04437274086451191,-0.19471069166031552,Relação Potência
wv_700_av,0.07119851811600492,0.06686548492275668,0.06986564036607643,0.19709633353826747,Relação Potência
rh_950_av,-0.14099627163698064,-0.005871723405092483,0.013683553232574896,-0.2774455612321322,Relação Potência
sW_7_av,0.007290584054876864,0.11297841127819806,-0.05335383064805378,-0.1491367561286073,Relação Potência
FFMC_12h_a,0.05313241167683397,-0.07247593373540716,-0.05451141707711381,0.09821464746138765,Relação Potência
gp_300_av,0.03825284496992238,0.018234545370365954,-0.09998062467912348,-0.05508890465482281,Relação Logarítmica
dfmc_av,-0.2314064259498199,-0.050779778303569716,0.04755881513463306,-0.3415794621344833,Relação Potência
EL_m_av,0.18532100384672018,-0.026322730066471876,-0.05124198195008294,0.16368839754203748,Relação Linear
TotCC_p_av,0.09174236515832114,0.1104687070962131,0.07698190321904834,0.021355206477260077,Relação Exponencial
elev_av,-0.1355586332626794,0.04378651999975508,-0.11221031745461152,-0.14530208957869603,Relação Potência
vwv_300_av,0.0020376103236991604,0.018036868658540015,-0.02350899461522687,-0.061363213747400336,Relação Potência
DC_12h_av,0.1245410276229248,-0.03702928848391007,0.1190346859462674,0.2971891901783729,Relação Potência
landform,0.09264097597358549,-0.02043220362660276,0.016211352198000465,-0.028961296352221774,Relação Linear
wdi_850_av,0.07208092192726354,0.015412147043278372,0.05446517388532853,0.07283039374269915,Relação Potência
wdi_950_av,0.13584304460617433,0.0056735248424374446,0.030577562943010738,0.1127234988358088,Relação Linear
LCL_m_av,0.20855807438001459,0.061280537405251065,-0.07194805220818365,0.2826841169353317,Relação Potência
f_start,-0.1487618448792191,-0.062378953196777234,-0.08174005746623965,-0.25829311885982276,Relação Potência
wv10_kh_av,0.2570112761736072,-0.0769805883779596,0.03250673939332361,0.3525695762659336,Relação Potência
wSdir_1_av,0.04243104186127347,0.030173255002850115,0.012243290866403833,0.05027696173425131,Relação Potência
LFC_hPa_av,0.0811025352097601,-0.04087846978527516,-0.044935145130159324,0.09245133543621614,Relação Potência
rh_2m_av,-0.2253118966491258,-0.039965054229850916,0.040392867773799294,-0.34399468958290186,Relação Potência
t_950_av,0.12280553134400686,0.08535700625245057,-0.07238894769062046,0.09238244900058408,Relação Linear
t_850_av,0.06554134248092264,0.03294905236746894,-0.08157117382323134,-0.016762291261309858,Relação Logarítmica
sW_1m_av,-0.1180693767614147,-0.00013900716956275,-0.06966652660272153,-0.2220869340055254,Relação Potência
ros_p_lg1,0.38284685734161683,0.12079301174366083,0.024143652997623048,0.5961092628111577,Relação Potência
VentIdx_av,0.10855985967679957,-0.08756890005658696,0.06975975948928964,0.1933607140214045,Relação Potência
wv_300_av,-0.010755518178957712,0.053496336223030176,0.01583529949419995,-0.06311007775342996,Relação Potência
enddoy,-0.044907789162752884,-0.03896556739614776,0.09679299413259922,0.25770925210380496,Relação Potência
f_load_av,0.04858259211158794,0.0006613920698248394,-0.049087361406904326,0.016158463173080166,Relação Logarítmica
t_300_av,0.06638089451649769,-0.01803252517406982,-0.0460529362147836,0.052255341141950025,Relação Linear
1_3y_fir_p,-0.12628859343263427,-0.03064463943048549,-0.07998102734307566,-0.0455313169622721,Relação Linear
gp_m2s2_av,-0.07239858141594571,0.07930131592069496,-0.09041108060507434,-0.16189134768056093,Relação Potência
Recirc,-0.2194843317435928,0.02240869497491785,-0.07640462178771089,-0.30260220737502225,Relação Potência
duration_p,-0.42879688052011283,0.0011149646389380097,-0.06414638241943202,-0.42809437704069936,Relação Linear
wdi_500_av,0.039478983023693175,0.0789949560784103,-0.009849724244692897,0.005114278168926412,Relação Exponencial
LowCC_p_av,-0.10671706644554592,0.024417984538152342,0.059607180709777545,-0.186506373436209,Relação Potência
rh_500_av,0.052332984850486604,0.11330741728386876,-0.02945126036188224,0.05914560524095855,Relação Exponencial
wv_950_av,0.15856197465524455,-0.1155294376983196,0.07711612963603517,0.3405522204673937,Relação Potência
gp_950_av,-0.06082594863127985,0.0792909647174856,0.01973445377957773,0.06396413485172517,Relação Exponencial
inidoy,-0.04238563415066097,-0.03897679289960025,0.09707074902301875,0.25959079146694664,Relação Potência
Cin_av,0.036585276772792504,0.0779590328698746,0.20546872342700684,-0.1040468660153177,Relação Logarítmica
gT_s_9_av,-0.2118201525502901,-0.0487183662258074,0.09570805798519334,-0.10688260637023782,Relação Linear
wdir10_av,0.12737143940368503,0.022144761817423683,0.027579446150816436,0.12440819708745345,Relação Linear
t_2m_C_av,0.22453294340727772,0.09535454710420507,-0.07570651621171755,0.17971060283358115,Relação Linear
gp_700_av,0.021403329852166413,0.08342690414773891,-0.058326605723211744,0.010191288662917346,Relação Exponencial
wv_850_av,0.08684430079333856,0.03857242378461017,0.07309557552556598,0.20853674915997206,Relação Potência
wdi_300_av,0.05679188637560477,0.06493177986356075,0.027273875191007706,0.06359151875873816,Relação Exponencial
gp_850_av,-0.0069054537688659386,0.10522742999386424,-0.03338993513851966,0.07440459824835353,Relação Exponencial
FWI_12h_av,0.151750256292042,-0.09552660700296911,0.013764730915120468,0.3297793468287294,Relação Potência
fuel_model,-0.04822328346128721,0.056744793037410035,0.010824364860770508,0.04019958607035857,Relação Exponencial
t_500_av,0.015612347703411859,-0.06286559624888303,-0.07756853647221638,-0.05489855289024606,Relação Logarítmica
wSdir_7_av,-0.061000319888958036,0.03538125991091573,0.02149615513884922,-0.09874004114791962,Relação Potência
wdir100_av,0.12076348424634865,0.021513772329133676,0.07575812539067796,0.13303090032460893,Relação Potência
sW_3m_av,-0.15214922572445044,0.01433271672995639,-0.07841767127355148,-0.21521237585893463,Relação Potência
gT_9_8_av,-0.12134184393889791,-0.10135339223525183,0.0020803603792986527,-0.1435047529571029,Relação Potência
gT_5_3_av,0.056990880896840415,0.06196446451627461,0.07409233215202218,0.1863471756587088,Relação Potência
vwv_950_av,0.06678061065191898,0.10046508897254068,0.07493518210368544,0.05950486114385067,Relação Exponencial
Cape_av,-0.07057799108595285,0.027717020799647024,-0.039772887883435575,-0.29668064102662695,Relação Potência
Haines_av,0.011396391758607561,0.08450357930658374,0.01650042841671567,0.041319050025771,Relação Exponencial
wv_500_av,0.1330241617408969,0.03887304089071199,0.09057902951311943,0.25682547898158703,Relação Potência
CMLG_av,0.03373857284756199,-0.013437399388559196,-0.03483525700374111,0.0916852904538498,Relação Potência
sW_100_av,-0.13389875090578698,-0.007602535888955831,-0.07556696035275623,-0.23570264914218442,Relação Potência
wSv_7_av,-0.019736805819437767,0.09700492789738775,0.022017243246042154,0.05405258750669065,Relação Exponencial
rh_700_av,0.0418001492413862,0.09570256654199426,-0.0014089615999056209,0.06762495786019011,Relação Exponencial
d_2m_C_av,-0.09661830254837821,0.04466008783181842,-0.017286089123497588,-0.21512295566931186,Relação Potência
CircVar,-0.2121483438859085,0.01496288198788917,-0.07872762595906783,-0.2837458193764256,Relação Potência
BLH_m_rt,0.072819443130334,0.08434202645729154,-0.09813115991997988,0.036994049534133336,Relação Logarítmica
3_8y_fir_p,-0.019369138615400593,0.026587130332645016,-0.023583982843223227,0.07307165493249212,Relação Potência
rh_300_av,0.07402084396889508,0.09589075666761454,0.056855690824921354,-0.05665306402340184,Relação Exponencial
wv100_k_av,0.2257401707658482,-0.10982895666991108,0.047050355073438806,0.3890127277257783,Relação Potência
VPD_Pa_av,0.2544504380026038,0.08835594571888401,-0.055305607446476876,0.27565001389313865,Relação Potência
land_use,-0.08804733713494395,0.04818258069991312,-0.10835942640345711,-0.004473087931656648,Relação Logarítmica
sP_hPa_av,0.048503092428881324,-0.07506830930186846,0.11183767747774492,0.14655776041791593,Relação Potência
t_700_av,0.04131424444932103,-0.001961586673350765,-0.06901056352652696,-0.12479083026041302,Relação Potência
vwv_850_av,0.02285058084694159,0.04636177736938056,0.023799964679883275,0.1389364551921935,Relação Potência
BLH_m_av,0.25296154866353293,0.0971102997640092,-0.03470536686488814,0.26101486912922395,Relação Potência
gp_500_av,0.02094718306253517,0.038352883269791006,-0.09675010931867892,-0.05688538943815713,Relação Logarítmica
CCL_hPa_av,0.009655567153083895,0.08360858226858817,-0.04136167817310893,-0.0870824598576083,Relação Potência
HigCC_p_av,0.10634770833776273,0.10539604787296289,0.09130639724091709,0.04946084763820561,Relação Linear
sW_28_av,-0.06795714598674886,-0.006038769973194417,-0.05203631414617737,-0.17411549967473317,Relação Potência
wSv_1_av,0.10562575675598569,-0.12148854464196962,0.0033272951697486974,0.26110997634891353,Relação Potência
wdi_700_av,0.10194351232007172,0.07362818887849022,0.07256810892698458,0.014825777301579782,Relação Linear
MidCC_p_av,0.006565508752539617,0.09313515344588082,-0.030960006782862228,-0.03529377459831473,Relação Exponencial
wSdir_9_av,0.08046921769676985,0.028174797271508463,-0.0649293746291232,0.17211873509044442,Relação Potência
LCL_hPa_av,-0.20569188502201982,-0.06061483687057921,0.06960031525469096,-0.2838791871505363,Relação Potência
aspect_av,0.025448294549966152,-0.002292804130309779,0.028911531692526436,0.11053600325812142,Relação Potência
wSv_5_av,0.0446102578706353,0.07048223840015533,0.06022525242835823,0.12863198077351048,Relação Potência
rh_850_av,-0.06560597675526911,0.07876648097081976,0.006758666254406559,-0.07924394508718671,Relação Potência
gT_7_5_av,-0.03375430000521713,-0.062047391304873564,-0.02707657193498432,0.044695074709999116,Relação Exponencial
