iteration,feature_added,r2_score,std_score,time_seconds,cumulative_features,original_importance
1,duration_p,0.14862035489593986,0.05450279660113844,8.115370273590088,['duration_p'],0.12533671777406588
2,FWI_12h_av,0.2521190545061446,0.027464455645764545,2.3501486778259277,"['duration_p', 'FWI_12h_av']",0.009195490077715718
3,rh_2m_av,0.28711710270753965,0.0343989905170271,2.291063070297241,"['duration_p', 'FWI_12h_av', 'rh_2m_av']",0.09504391138934952
4,wv_850_av,0.332124288539252,0.03817149146919816,2.26578688621521,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av']",0.06774881410404276
5,wv100_k_av,0.3538619002805112,0.03973795454837611,2.2383675575256348,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av']",0.18774843840947458
6,wdi_950_av,0.37185272534265185,0.032610011748180456,2.219815492630005,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av']",0.0518317968167475
7,Cape_av,0.38616069744007914,0.025490932406657785,2.189297914505005,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av']",0.0447481682239145
8,BLH_m_av,0.3945540075444935,0.024437345565803008,2.171483039855957,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av']",0.011994069806421084
9,vwv_500_av,0.4021174392475107,0.024826015439365613,2.1360690593719482,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av']",0.015504782088485155
10,gT_8_7_av,0.4066600689020599,0.022181942058076946,2.110234498977661,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av']",0.06952203321802501
11,wv_950_av,0.4110282648160647,0.019051509321937537,2.0890846252441406,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av']",0.11210419386905313
12,sW_100_av,0.4168746188143748,0.01866936820852416,2.056351661682129,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av']",0.06365201090144156
13,landform,0.4219077146597794,0.021740159886154575,2.032273054122925,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform']",0.031764491548585225
14,Recirc,0.4256342552878377,0.025418662189027795,2.042309522628784,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc']",0.07319575108324232
15,wSv_9_av,0.4291677225182834,0.02165370581981559,1.9930663108825684,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av']",0.026941269185522757
16,wv10_kh_av,0.43228872541043606,0.023990856072315086,1.979837417602539,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av']",0.05632905065606401
17,vwv_850_av,0.4359450867797527,0.02401748610813267,1.9837586879730225,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av']",0.03039763760850348
18,aspect_av,0.438286369999369,0.02515193998976898,1.9259800910949707,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av']",0.03456286222781967
19,8_ny_fir_p,0.4402900408532481,0.02360850577603243,1.9282701015472412,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p']",0.04766607313798837
20,gT_7_5_av,0.4424065656971833,0.022757165649320104,1.9052906036376953,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av']",0.041129333114787864
21,f_load_av,0.44410721701684963,0.02154024689810955,1.8670654296875,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av']",0.040757893028999785
22,wdi_500_av,0.4458108040667155,0.020533608688623774,1.8537583351135254,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av']",0.07842103644077607
23,wdi_300_av,0.4475332189576743,0.020805267637465014,1.8568668365478516,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av']",0.04394453707011402
24,CircVar,0.4490789475762553,0.020894059275481724,1.8373289108276367,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar']",0.039461141190263616
25,HDW_av,0.4502440229630723,0.02058080989049402,1.8163702487945557,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av']",0.05747305492506395
26,gp_850_av,0.4507949510927121,0.020165021588948707,1.7937917709350586,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av']",0.07586425350479345
27,1_3y_fir_p,0.4516697385792171,0.019817366756027105,1.8335928916931152,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p']",0.019028777540177105
28,LowCC_p_av,0.452228345007344,0.020798191877980494,1.8174762725830078,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av']",0.02309539753792784
29,TotCC_p_av,0.4527791109763427,0.01967243914670291,1.7685096263885498,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av']",0.07692309639159725
30,rh_500_av,0.4537692394570259,0.018834996907678637,1.9886207580566406,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av']",0.029922766166024864
31,vwv_300_av,0.4546083590929152,0.020860551101054746,2.0389885902404785,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av']",0.02360842084530299
32,wdi_850_av,0.4549705986261235,0.021272170984012077,2.146052122116089,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av']",0.01055445034369785
33,wSv_7_av,0.45530592135497183,0.021590729713319885,2.1315367221832275,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av']",0.035973043637982975
34,gT_9_8_av,0.4556110919495001,0.02181136657160196,2.092484474182129,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av']",0.061284727916491595
35,t_950_av,0.45600166948290993,0.022403733446100766,2.059462308883667,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av']",0.013326051971724926
36,gp_300_av,0.45724410275970423,0.02136164113823632,2.0217514038085938,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av']",0.20409902711885766
37,gp_500_av,0.4584350744934171,0.023846087009435076,1.9892544746398926,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av']",0.12657397095696518
38,t_300_av,0.45937630965083703,0.02344779168249207,1.9460124969482422,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av']",0.005086076960158118
39,gp_950_av,0.4595219607491224,0.02347660491429399,1.9161005020141602,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av']",0.04599877572599223
40,t_850_av,0.4597596061171617,0.023624740698348728,1.8741462230682373,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av']",0.005529223722552676
41,sW_28_av,0.46002690234451543,0.023593158261040005,1.8383102416992188,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av']",0.09026591190152944
42,sW_7_av,0.4604894698660667,0.02261356897898803,1.8050036430358887,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av']",0.03794077776129493
43,LCL_m_av,0.46085643249158864,0.01998447646388617,1.7671425342559814,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av']",0.02709502707154578
44,t_700_av,0.4610658485111168,0.022526618248252053,1.7320404052734375,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av', 't_700_av']",0.13199701810817024
45,gT_5_3_av,0.46127741425548763,0.021780669808830026,1.6960439682006836,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av', 't_700_av', 'gT_5_3_av']",0.033343203868491815
46,sW_1m_av,0.4613352798355761,0.02174877410900776,1.6585335731506348,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av', 't_700_av', 'gT_5_3_av', 'sW_1m_av']",0.029204092209033743
47,wSdir_9_av,0.4612420255956682,0.021893438727985395,1.6324360370635986,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av', 't_700_av', 'gT_5_3_av', 'sW_1m_av', 'wSdir_9_av']",0.006173320213075459
48,t_500_av,0.4611234123446393,0.021958019037118488,1.5791552066802979,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av', 't_700_av', 'gT_5_3_av', 'sW_1m_av', 'wSdir_9_av', 't_500_av']",0.012867441734752752
49,Haines_av,0.4609764416928287,0.019564390296437213,1.5458779335021973,"['duration_p', 'FWI_12h_av', 'rh_2m_av', 'wv_850_av', 'wv100_k_av', 'wdi_950_av', 'Cape_av', 'BLH_m_av', 'vwv_500_av', 'gT_8_7_av', 'wv_950_av', 'sW_100_av', 'landform', 'Recirc', 'wSv_9_av', 'wv10_kh_av', 'vwv_850_av', 'aspect_av', '8_ny_fir_p', 'gT_7_5_av', 'f_load_av', 'wdi_500_av', 'wdi_300_av', 'CircVar', 'HDW_av', 'gp_850_av', '1_3y_fir_p', 'LowCC_p_av', 'TotCC_p_av', 'rh_500_av', 'vwv_300_av', 'wdi_850_av', 'wSv_7_av', 'gT_9_8_av', 't_950_av', 'gp_300_av', 'gp_500_av', 't_300_av', 'gp_950_av', 't_850_av', 'sW_28_av', 'sW_7_av', 'LCL_m_av', 't_700_av', 'gT_5_3_av', 'sW_1m_av', 'wSdir_9_av', 't_500_av', 'Haines_av']",0.02239230199680733
