fid,fname,year,id,type,sdate,edate,inidoy,enddoy,source,zp_link,burn_perio,area,growth_rat,ros_i,ros_p,int_i,int_p,duration_i,duration_p,qc,elev_av,aspect_sin,aspect_cos,landform,land_use,1_3y_fir_p,3_8y_fir_p,8_ny_fir_p,fuel_age,fuel_model,f_load_av,sW_1m_av,sW_3m_av,sW_7_av,sW_28_av,sW_100_av,sW_289_av,t_2m_C_av,d_2m_C_av,rh_2m_av,VPD_Pa_av,sP_hPa_av,gp_m2s2_av,dfmc_av,HDW_av,Haines_av,FWI_12h_av,DC_12h_av,FFMC_12h_a,wv10_kh_av,wsin10_av,wcos10_av,wv100_k_av,wsin100_av,wcos100_av,Recirc,CircVar,t_950_av,t_850_av,t_700_av,t_500_av,t_300_av,rh_950_av,rh_850_av,rh_700_av,rh_500_av,rh_300_av,wv_950_av,wv_850_av,wv_700_av,wv_500_av,wv_300_av,wsi_950_av,wco_950_av,wsi_850_av,wco_850_av,wsi_700_av,wco_700_av,wsi_500_av,wco_500_av,wsi_300_av,wco_300_av,vwv_950_av,vwv_850_av,vwv_700_av,vwv_500_av,vwv_300_av,gp_950_av,gp_850_av,gp_700_av,gp_500_av,gp_300_av,gT_s_9_av,gT_9_8_av,gT_8_7_av,gT_7_5_av,gT_5_3_av,wSv_9_av,wSsin_9_av,wScos_9_av,wSv_7_av,wSsin_7_av,wScos_7_av,wSv_5_av,wSsin_5_av,wScos_5_av,wSv_1_av,wSsin_1_av,wScos_1_av,CBH_m_av,HigCC_p_av,LowCC_p_av,MidCC_p_av,TotCC_p_av,Cape_av,Cin_av,BLH_m_av,BLH_m_rt,LCL_hPa_av,LFC_hPa_av,CCL_hPa_av,EL_m_av,LiftIdx_av,VentIdx_av,CMLG_av,ros_p_lg1,f_start,ros_p_log,ros_p_linear,PredROS_log,PredROS_linear,PredDiff,Err_pct,Error_p_abs,High_err,shap_duration_p,shap_HDW_av,shap_3_8y_fir_p,shap_CircVar,shap_f_start,shap_8_ny_fir_p,shap_wsin100_av,shap_f_load_av,shap_wv100_k_av,shap_dfmc_av,shap_wco_500_av
29,Abrantes_09082017,2017,334,p,2017-08-09 18:00:00,2017-08-09 23:00:00,221.75,221.958333,fops,1,1,501.25,100.25,1199.641053,1199.641053,14302.974677,14302.974677,5.0,5.0,3,222.9939244765703,-0.083639182124461,-0.996496104966573,21.0,4.0,0.0,0.0,97.03815261044177,12.0,223,21.37132796780684,0.113209173685942,0.164375041088263,0.070368334313775,0.088492222465908,0.124583366064079,0.191446928602719,22.64176806911655,5.951859426728489,34.32745610562561,1840.8309729243676,995.1169541690156,1756.3467611159674,9.205702311242177,35308.785223040824,0.24884749151484,59.670234819823285,871.1251884440829,93.4494503589492,18.641460165320353,-0.405073536832105,0.914284107790532,33.00779550791043,-0.296169136212813,0.955135510152856,0.00505190579761,0.005422773731473,21.059096752525175,13.479162042372684,6.981467059343003,-8.128010946945874,-38.410637160666724,31.036044132123553,39.24130424907451,4.697755666373413,8.317030392403693,26.609503048007,42.33783658221184,35.719053789721926,39.34887130899487,70.72681443295262,103.5672271680907,0.018065737990944,0.999836801238503,0.690873996776463,0.722975186696,-0.405334832630717,0.91416829602444,-0.708532520675944,0.705678161164559,-0.779079139638757,0.6269255890293,-0.117708880222742,-0.171084805654123,-0.071308645111646,-0.174559016613837,-0.073258615622738,5854.192464882144,15162.09013555474,30925.76577521791,57367.098662852506,94013.14873596358,-0.853622412573271,-8.270810097219476,-4.181152438213608,-5.900119982939643,-8.440929418888306,66.74401650753086,-0.134307005808075,0.990939770213543,7.147653923578221,-0.000195477354112,0.999999980894302,9.422789265722628,-0.001332794010821,0.999999111829668,146.51628245162223,0.014971185487621,0.999887925522203,,0.0,0.0,0.0,0.0,0.0,,665.3827154902544,245.37140390302594,776.9440092046538,,603.126020454179,,23.052630614597945,21987.9876862416,1.521745095910536,,0.0,7.0906109039696155,1199.641053,6.413599967956543,609.0860226463216,-590.5550303536785,-49.22764429216966,49.22764429216966,True,-0.16252804,0.179059,-0.064410746,-0.04461707,0.21035564,0.018389987,0.010735192,0.15102029,0.22399953,0.055682875,-0.06388411
29,Abrantes_09082017,2017,335,p,2017-08-09 23:00:00,2017-08-10 03:00:00,221.958333,222.125,"fops,sat",1,2,127.5,31.875,388.237868,397.497644,3779.81918,4429.139637,4.0,4.0,3,167.29579373781675,0.259743644708011,-0.965677606157354,22.0,4.0,0.0,0.0,100.0,12.0,223,18.165317460317464,0.102546142363545,0.153008959210861,0.070612845122811,0.077137533128259,0.113061612844464,0.17970886230468,19.09472656250002,4.145751953125023,37.211457608535405,1385.8794421034204,1000.004125,1489.10009765625,9.946862663293741,20445.930534797335,0.424838256835938,54.16704235118699,893.2564460609003,94.778059291288,14.300063597223021,0.05949339116988,0.998228699450736,30.635126345445567,0.226039639974147,0.974118104318136,0.029998852191268,0.029587866547774,19.614434814453126,13.32939453125,6.479718017578125,-8.722906494140625,-37.92203063964844,30.528368377685545,28.89521369934082,2.167975330352783,9.456869506835938,20.19377555847168,46.508071189800795,27.576410645585035,34.73478923228496,65.87957535776216,105.0660236378362,0.62197666890702,0.783035773981832,0.786953410352786,0.617012422836136,0.399841507026074,0.916584294682774,-0.502568631420634,0.864537315974268,-0.620577299352562,0.784145277055394,-0.154164808764282,-0.11008213758142,-0.107085397122239,-0.093320868880826,-0.101622325099157,5990.32001953125,15273.65,31017.891796875,57406.346875,94020.875,5.385438454875201,-6.857892135419431,-4.407646362427418,-5.936492884624204,-8.138915834648312,79.60350314144819,-0.088115127421728,0.996110297266047,7.133237855051327,-0.005745614170404,0.999983493822675,9.209803727283077,0.010093121571033,0.999949063151195,170.61891634976683,-0.218836548411622,0.975761530846184,,0.0,0.0,0.0,0.0,0.0,,354.45206787109083,35.974963378905024,799.2803134798709,,580.925881364846,,25.88910034441192,23552.555084228516,1.600810737101536,1199.641053,300.0,5.987701586042153,397.497644,5.508455753326416,245.76975930051714,-151.72788469948284,-38.17076327111082,38.17076327111082,True,-0.19424127,-0.101077616,-0.06828519,-0.03870865,0.035381265,-0.24692838,-0.057934526,0.013438754,0.17611885,0.029005222,-0.081897594
29,Abrantes_09082017,2017,338,p,2017-08-10 12:00:00,2017-08-10 14:30:00,222.5,222.604167,sat,2,4,819.5,327.8,1092.753836,1092.753836,12211.261107,12211.261107,2.5,2.5,3,211.10384204094103,-0.929665815425231,-0.368403951702124,21.0,4.0,0.0,0.0,96.0025583626479,12.0,223,20.70333333333334,0.105624948102769,0.15833222359369,0.064708616110409,0.079440806273892,0.117239966191004,0.186219670943384,29.123006724128203,2.045424680424223,17.647203198051454,3323.7799224986934,1002.4527306812439,1412.7643539541484,6.322424556126076,35868.98772645491,-0.377870548449034,51.60944490844401,884.5506165359416,95.00814903167252,10.709168405682753,0.84044201337769,0.541901487495334,13.634893127327496,0.822900286279347,0.568185813657265,0.011760234395468,0.011717190347351,21.836584940085235,12.955596072475686,7.711337169373754,-7.840263774145401,-37.98094920121878,23.19944885474543,31.906097103784536,4.047502239275682,8.63178587392659,18.419346758071296,14.871882632882151,15.898397149560346,23.491173680293965,32.483219385988036,55.82581762247514,0.853339323785479,0.521355923032761,0.855166314214559,0.518353716136661,0.239859960158395,0.970807498690041,-0.231732502134947,0.972779547201871,-0.127615012431242,0.991823779006217,-0.046819657263124,-0.041184068608989,-0.06677477198989,-0.114810534317712,-0.143178291668647,6191.863752398404,15483.807524524089,31359.654369739746,57791.778340971905,94538.31200248352,-16.773671006299757,-9.690449219982932,-3.374588366581674,-6.072765151474424,-8.40136507749674,9.960924074080253,0.003048501173687,0.999995353309501,4.371284923965423,-0.004284716215619,0.999990820561345,3.978252624431514,0.016375086559923,0.999865919281258,29.788734635960324,0.002542815485826,0.999996767039476,,0.0,0.0,0.0,0.0,0.0,,1552.8354388022744,112.06740912182545,672.7416410314527,,518.6998035481129,,17.90451062671581,7464.756537848313,1.769979991220107,,1080.0,6.997370944865674,1092.753836,6.189266681671143,486.48849086206366,-606.2653451379365,-55.48050486440356,55.48050486440356,True,0.17813125,0.11698334,-0.07842079,-0.053527813,-0.026091503,0.009806799,-0.12576506,0.13003741,-0.1120359,0.13152649,-0.15339328
29,Abrantes_09082017,2017,340,p,2017-08-10 14:30:00,2017-08-10 22:00:00,222.604167,222.916667,sat,2,5,1290.25,172.033333,580.177102,584.937417,5245.719691,5133.28732,7.5,7.5,3,184.75268999612254,0.460585017068789,-0.887615593628088,21.0,4.0,0.0,0.0,98.7111892208553,12.0,223,18.67046367851623,0.100860889192976,0.154541452044566,0.057269391622938,0.074644246393193,0.112745472273333,0.182943866251757,27.82747286642458,4.65396366836667,25.121250383854914,2935.7189584545995,1002.8234809242101,1248.249108389704,7.4535002647941,32829.69025069141,0.146062504590274,51.774346856110085,889.345165792715,95.02514246711416,10.685129163856583,-0.182657236231761,0.983176654550023,17.49542056376014,-0.112663308525753,0.993633221521921,0.066588737438912,0.072572361006837,24.35026564274693,15.675167709660046,9.3830427004795,-7.262874953487934,-38.23555535723104,20.91331822072633,28.091324737458027,5.338400761391609,8.432433677311375,29.524148113457144,17.910817492688142,19.165960374261186,15.321934925189774,31.767572023660748,37.91099486726272,0.321091944873872,0.947048025676161,0.85744056028976,0.514583021066554,0.254846899265247,0.966981415506466,-0.419023093827647,0.90797557612477,-0.708218242100204,0.705993570478157,-0.00676294693732,-0.045281919924274,-0.061571872676022,-0.101531485772108,0.003282652217618,6049.525182018529,15434.985168478717,31374.357973286984,57907.55941022925,94678.27029097409,-6.356278185807819,-9.465792295445684,-4.048871775666711,-6.500086326189612,-8.633273988744234,16.467237459826418,-0.137929305839375,0.990442076343018,1.293061641900635,-0.021207814507695,0.999775089009427,3.690725872142492,0.006717887564551,0.99997743473874,75.04648230103325,0.005563282288905,0.999984524825346,,0.0,0.0,0.0,0.0,0.0,,924.1675913706363,262.02854575978904,716.4081736504521,,531.0378337601077,,19.62818793882135,9233.734741471297,1.936235678124827,1092.753836,1230.0,6.373212986945487,584.937417,5.490968227386475,241.4918805106003,-343.4455364893997,-58.71492000816896,58.71492000816896,True,-0.2988438,0.17381155,-0.0926614,-0.07175275,-0.02682484,-0.028641256,-0.03211178,0.08232473,-0.018962577,0.14132056,-0.071707346
113,Abrantes_29082023,2023,2669,p,2023-08-29 17:20:00,2023-08-29 18:50:00,241.722222,241.784722,airb,1,1,14.0,9.333333,708.321556,708.321556,7956.320253,7956.320253,1.5,1.5,5,170.9304413377193,-0.994517040016672,0.104574648536235,21.0,4.0,0.0,0.0,0.0,0.0,233,21.97142857142857,0.08331668088585,0.132984196744261,0.047072642892602,0.05589761018753,0.094837635755537,0.159263305664055,24.842675781250023,12.390527343750023,45.88056307582175,1695.4830483798803,993.0706250000001,1676.94189453125,10.533727874035112,45055.28747645125,2.395263671875,65.62872214888952,1170.8256889614715,93.74710124526251,26.573717454446893,-0.504173804051449,0.863602208952879,39.33348338450253,-0.499393519936486,0.866375272180275,,,19.9788818359375,17.411285400390625,6.620758056640625,-9.923370361328125,-38.78602600097656,61.320926666259766,34.400272369384766,24.274627685546875,20.403488159179688,43.05305862426758,48.39810693433296,37.702967774217356,42.68871726244723,46.249029476395684,36.6471974157328,-0.408828347847786,0.912611298415733,-0.008777938783557,0.999961473153197,-0.433648406726873,0.901082160151473,-0.711047107793791,0.703144373865058,-0.623638540808519,0.781712843963959,-0.049123744308755,-0.119604326178435,-0.003083881008698,-0.045564464243499,-0.043311712953154,5566.52490234375,14926.8115234375,30831.865234375,57152.27734375,93721.3359375,-14.894998185934218,-2.801620770725424,-6.943514558741921,-6.46033851325299,-8.045129156782476,55.61614200826422,0.006074329147023,0.999981551092526,5.217533199439685,0.000621204192463,0.999999807052657,3.402651769992025,-0.000780120060242,0.9999996957063,127.33613577458726,0.0051790383933,0.999986588690729,,0.0,0.0,0.0,0.0,0.0,,790.2421093750037,,826.247565461943,,722.9661771302794,,18.23165733114567,24199.052810668945,0.896717178499716,,0.0,6.564308958272129,708.321556,7.045058250427246,1146.1756573418138,437.8541013418138,61.8157244591627,61.8157244591627,True,0.26570472,0.17267527,-0.059686176,0.06308614,0.1602993,-0.11446075,0.08288891,0.100793734,0.25766638,-0.06587189,-0.070473574
48,Agueda_05092019,2019,1743,p,2019-09-05 09:30:00,2019-09-05 12:30:00,248.395833,248.520833,sat,1,1,19.0,6.333333,298.165383,298.165383,2690.21976,2690.21976,3.0,3.0,3,55.10904541015625,0.472677260111532,-0.88123561422213,21.0,4.0,0.0,26.027397260273972,6.849315068493151,4.0,223,13.358333333333334,0.168835073985166,0.236286901984525,0.071497847381984,0.133722487562199,0.188539586500507,0.271975699867784,27.311706981182976,11.584727300447895,37.76049256000875,2272.4033053309454,1005.9092454494336,1293.3633096337533,9.198735304922877,41228.49263465216,1.434320144611793,48.182347654167565,628.3979864280957,92.84631495759125,18.225526124686713,0.92587364775577,0.377833281211997,26.567602046653487,0.936228962365117,0.35139056622046,0.000938328553713,0.000923623347978,21.514084320729378,18.12192684769286,9.253286558469272,-11.790998434598293,-41.319359384023805,44.72422296842009,28.6084487777204,3.917418576889502,8.357398271720808,21.429248934679084,32.76099002638854,13.935731364957265,22.685167131445994,21.47858979024634,43.690288964212044,0.955911180489953,0.293655946669405,0.979079614204538,-0.203477539421658,0.664222960571612,0.747534520038696,0.361812261828895,0.932250978648056,-0.814849144241427,0.579673073489716,-0.197871998851931,0.08095519807649,-0.17039071264636,-0.037791357585719,-0.002769935196373,5910.546651543056,15296.08106839808,31284.074083457002,57567.263797433516,93660.58720299603,-13.96150220151249,-3.701336667421572,-5.706814041867631,-8.217610586056992,-8.230686759810363,33.28195617306795,0.003820769982686,0.999992700831731,1.110202898867899,-0.002806158876754,0.999996062728428,0.354259247297089,-0.002601040860635,0.999996617287499,78.31106908130934,0.006021333331852,0.999981871608134,,0.0,0.0,0.0,0.0,0.0,,809.1542660597988,153.26778029488224,798.36364811768,,662.8171706012366,,14.42760169208488,16396.784968003118,1.156667362165894,,0.0,5.700996540877319,298.165383,6.514074802398682,673.5695625802823,375.4041795802823,125.90468276469313,125.90468276469313,True,0.08827561,0.15214992,0.05381678,-0.02716587,0.24182582,0.024011241,-0.083442494,-0.15819433,0.1554744,0.016847076,-0.12121933
48,Agueda_05092019,2019,1744,p,2019-09-05 12:30:00,2019-09-05 17:00:00,248.520833,248.708333,fops,1,1,46.5,10.333333,287.880391,300.228952,2746.288964,2922.979039,7.5,4.5,3,78.21045169733503,0.444956660384814,-0.895552103665216,21.0,4.0,0.0,0.0,63.24324324324324,14.0,223,13.728913043478263,0.161429441319402,0.228436768561803,0.066327152997253,0.127555587887761,0.180555371046062,0.26389038085937,31.282177734375022,10.072216796875022,27.132155506854566,3322.7623140695528,1009.2648750000001,835.1695556640625,7.377491064481009,45222.62122564159,0.920843505859375,47.731246420213594,639.0895702678289,92.82830170602318,13.620112855687298,0.826459447622367,0.562996253482855,18.67423257921914,0.854794280276271,0.51896699163528,0.00490171854626,0.00514393904413,25.756201171875,17.24310302734375,9.401416015625,-11.87371826171875,-42.321875,31.78312759399414,42.102942657470706,5.926012134552002,6.688494300842285,17.760028457641603,21.58610101764453,16.23497329343194,17.50356627658592,12.130366248615896,26.252621239973333,0.922415521954169,0.386198918768577,0.999997182962227,-0.00237361909548,0.166627882849901,0.986019852060271,-0.122260101731168,0.992498094469045,-0.03123831392301,0.999511964782437,-0.102713961512327,-0.019974921201978,-0.061743156730203,0.068818919216387,-0.096141785226306,5843.7134765625,15276.2033203125,31275.0546875,57559.9328125,93600.6078125,-9.857420439474666,-9.28902698833311,-5.045987670148855,-8.307755227363483,-8.487069125022932,16.49762522115656,0.008909611538492,0.999960308623414,1.215911130117747,0.002919127373827,0.999995739338611,-0.244479804917979,0.008691468536353,0.999962228473997,52.659855077570796,0.014593132860151,0.999893514567089,,0.0,0.0,0.0,0.0,0.0,,1334.3976416015696,122.59615071614287,740.3662729549211,,649.358725354602,,11.843684781861175,10878.711891174316,1.234348577100853,298.165383,180.0,5.7078706134842525,300.228952,5.780481338500977,322.9150656920116,22.68611369201159,7.556271152694024,7.556271152694024,False,-0.14850666,0.17691527,-0.09499464,-0.020442024,0.045823514,0.120497875,-0.11937667,-0.17006114,-0.058514893,0.13861018,-0.18123612
48,Agueda_05092019,2019,1745,p,2019-09-05 17:00:00,2019-09-05 18:00:00,248.708333,248.75,"fops,sat",1,1,23.25,23.25,348.085076,914.672569,3402.912341,8905.099683,8.5,1.0,3,105.90013631184895,0.67466179292612,0.738126997992699,22.0,4.0,0.0,0.0,23.655913978494624,9.0,223,15.912173913043478,0.161083026088771,0.228258824320086,0.066004498302934,0.127049531787631,0.180253207683559,0.263801574707026,30.834619140625023,8.662011718750023,25.2506741399839,3322.127668426139,1008.7793750000001,835.1695556640625,7.170128420695341,35949.84225703978,0.870567321777344,47.731246420213594,639.0895702678289,92.82830170602318,10.545971323280357,0.554945986349163,0.831886381806406,17.899272653930886,0.509113629814082,0.860699315636727,0.023174452713609,0.023257882223528,26.297958374023438,17.090469360351562,9.349334716796875,-11.909759521484375,-42.081642150878906,28.50982666015625,45.53990364074707,5.567964553833008,6.643046140670776,20.029645919799805,21.45121521482791,21.58317594895969,18.42899266071198,16.569461054604744,42.380895246849114,0.786643578379177,0.617407386248985,0.991784526884532,0.127919710101397,-0.173510008315141,0.984832106003089,-0.50605387931156,0.862501867379846,0.824866685721032,0.565327295279115,-0.058448655055183,-0.075522451750152,-0.045515131510733,-0.028107037121278,-0.123096244735895,5794.055908203125,15242.30908203125,31246.0166015625,57527.908203125,93602.9296875,-6.207695751450849,-10.046708318254453,-4.981283989779836,-8.301491731367104,-8.410060934355426,21.66208097053881,0.018477762032959,0.99982927158103,2.342541585869594,0.033913615412967,0.999424767898826,0.905637165092119,0.016945168892595,0.999856420318038,71.62445377542807,0.02304504870102,0.999734427600834,,0.0,0.0,0.0,0.0,0.0,,1063.472662353507,679.5125854492345,729.2158078735972,,633.5216115275192,,12.682903028193394,10727.293491363525,1.624705045408859,300.228952,450.0,6.8196588433474155,914.672569,6.213537216186523,498.46484547704426,-416.2077235229557,-45.50346622704454,45.50346622704454,True,0.30921903,0.121712066,-0.08941321,-0.05672813,-0.055546246,0.10334137,-0.08295002,-0.11110208,-0.05265173,0.15832143,-0.08790057
4,Agueda_08082016,2016,25,p,2016-08-08 04:00:00,2016-08-08 12:30:00,221.166667,221.520833,sat,1,1,837.25,98.5,599.456399,599.456399,5491.303691,5491.303691,8.5,8.5,1,144.49122872499254,-0.997193522951582,-0.07486706741561,22.0,4.0,0.826699326393141,11.420698101653398,52.816901408450704,12.0,223,16.44403341288783,0.179569938868944,0.266435759725682,0.07240389264292,0.126278953916495,0.205532063974272,0.312396511501733,29.008474392361133,11.191932508680578,33.48946457880833,2742.7112849302584,1002.2125694444445,1479.0550537109375,8.456740814324204,31947.458610705988,4.234420776367188,40.76445511534814,504.3799069198681,95.33094468675206,12.633310264570156,0.978912611128057,0.204279464886831,22.15151559809631,0.977135718480368,0.212616527273528,0.005181490566234,0.004922913079072,28.854366726345486,24.11166720920139,9.642825656467014,-9.196265326605904,-35.926778157552086,24.634694629245335,18.517175674438477,22.581592347886826,15.024156994289822,23.568431430392796,30.392385112024098,8.930553724548899,23.646420465834343,13.436574692164767,48.44998339503407,0.989850577311212,0.142112049442193,0.951297121513486,0.308275504379046,0.71953305665638,0.694458191958829,-0.559657942907222,0.828723709652896,-0.993056601012817,-0.117637524561131,-0.223403113215553,0.122252642896962,0.119104876885961,-0.022806945028323,0.005308409693532,6084.884494357639,15709.964409722223,31903.675130208332,58281.69704861111,95221.29340277778,-1.087225791824786,-5.174974264875188,-9.310445056953725,-7.356501470360683,-7.450819177448794,47.579889267831625,0.004318528799438,0.999990675111027,4.082681803568796,-0.003287920850298,0.999994594773633,0.282558033140959,0.013998846437551,0.999902011348321,113.5781490731626,0.000958229102559,0.999999540898388,,0.0,0.0,0.0,0.0,0.0,,430.56458028157954,87.26554771423437,772.2393245225354,,634.7280029223416,,15.31935887901083,15249.286943011813,1.803994429909969,,0.0,6.397690031057151,599.456399,6.425382614135742,616.3169665606258,16.860567560625782,2.812642852549778,2.812642852549778,False,-0.37592492,0.14216405,0.15656143,-0.009440348,0.24511524,0.13026533,-0.14727889,-0.13714345,0.08913948,0.09906845,-0.09961685
4,Agueda_08082016,2016,26,p,2016-08-08 12:30:00,2016-08-09 02:30:00,221.520833,222.104167,sat,2,2,1929.25,137.803571,384.649786,384.649786,3465.266704,3465.266704,14.0,14.0,1,154.1467644019633,-0.971369860747551,-0.237572291379453,22.0,4.0,4.284591194968553,0.0,56.014150943396224,30.0,223,16.81220611082341,0.179906775213484,0.2683508760773,0.073562449723396,0.125658939518279,0.206068092269455,0.315146696640165,30.387150853416607,16.140122420549385,46.3573608205781,2644.848996116897,997.4119814520927,1754.6577752189826,10.66885846261975,23287.57042181762,4.010685078156144,43.21989297627133,502.9704818137333,95.06070685577693,7.179589791308031,-0.635502200689433,0.772099056416265,11.309270113399021,-0.401152405160504,0.916011325166858,0.072076848091666,0.081958008497555,30.975967551251948,23.515229365787444,9.493859209475152,-10.668307877819064,-36.09577931644556,27.539430248677537,27.001510370836534,34.24868161310018,24.486622549796557,28.76176443692839,15.15506396579124,11.58947417614209,18.117915967426722,19.939504109366673,59.54271819568944,-0.223434572226848,0.974718929709383,0.083913413684301,0.996473049813113,-0.038053287474401,0.999275711359178,-0.820672476714728,0.571398885160721,-0.999854302903715,0.017069650404312,-0.009076167019494,-0.00625257364968,0.01715901029033,-0.031672548201162,-0.02840987225077,5993.343886186048,15629.830890686577,31813.891161583713,58088.33768664225,94907.82193901083,2.722677012216412,-8.14074937009706,-9.022505083614334,-7.873151202285036,-7.087611563127786,25.265160015142193,0.002362356532912,0.999997209631913,4.644081894850762,-0.000267017147392,0.999999964350921,2.312061695807569,0.005660071175772,0.999983981668849,51.28232256310323,0.012300025281717,0.999924351827712,,0.0364662375494,0.0,3.3821381996752,3.4186044372246,111.19661930889417,,556.922478478754,222.3316566800632,815.0278238195496,,707.9945136370455,,13.035786248073418,13447.511987912512,1.275338027161043,,510.0,5.9549296674725545,384.649786,5.07544469833374,159.04334716672852,-225.60643883327148,-58.652428012340415,58.652428012340415,True,-0.41677588,-0.07587957,-0.10262484,-0.045647785,-0.045921415,0.1417091,0.017675525,-0.12372977,-0.07778698,-0.057444494,-0.10139317
4,Agueda_08082016,2016,27,p,2016-08-10 13:30:00,2016-08-11 03:30:00,223.5625,224.145833,sat,3,4,1859.25,132.803571,241.638875,241.638875,2407.491571,2407.491571,14.0,14.0,1,195.39970793608165,-0.963286494592223,-0.268475565622324,22.0,4.0,0.544810678289294,0.490329610460365,74.4075183873604,30.0,223,17.193295819935695,0.193073492865635,0.278878649171137,0.088005796178069,0.138240216193627,0.219281446850706,0.324278202771932,26.979149520303256,6.73183190189535,27.961389374910215,2634.763642839784,984.0393117834309,2695.1579682451775,7.918911224207643,37755.931247679015,2.253897227368524,58.14545328664646,510.85063781307963,94.33531882986821,14.64584289548542,0.924803298637504,0.380445605611619,26.489347710081688,0.909905376954988,0.414815868776016,0.009842705621828,0.012543610496463,24.882172851428823,17.756486838256546,7.248692383519497,-9.925117605626484,-38.53765456908078,27.131732357658603,39.201386603019294,8.016483524781327,18.192916003436057,46.75647846682675,35.01867503153995,16.22984108786108,11.720461671556636,34.3873983093135,73.58972267632659,0.949715682766131,0.313113592659377,0.998098205410975,-0.061643915801892,0.876483261324216,0.48143233441312,0.510426825595478,0.859921191570788,0.45992236428593,0.887959131283439,-0.27074559606446,-0.080389026188142,-0.031841622143499,-0.096871913935477,-0.17592768738374,5774.267734620431,15220.50626767527,31140.659079587476,57433.025967957976,93957.45584040505,-3.831220500438853,-7.775158768639999,-6.761580917451101,-6.706223699984475,-7.975411488400597,85.33007703067847,0.010072703900066,0.999949269031255,-1.116267688144158,-0.000204925771903,0.999999979002714,3.660785890767018,-0.001793154639334,0.999998392296927,129.0295956335711,0.007423006227014,0.999972449109751,,0.0027979633621,0.0,0.0,0.0027979633621,0.0,,928.9964704548883,144.88217442053394,730.4992478584983,,618.8988067328949,,16.951792320144676,17680.364555365035,1.749372197903891,,3450.0,5.491574226871061,241.638875,5.804925918579102,330.93060254202123,89.29172754202122,36.952550595189294,36.952550595189294,True,-0.52757376,0.17337562,0.06826533,-0.043096345,-0.12657012,0.09875207,-0.15696949,-0.06596862,0.08421587,0.11607858,-0.09426352
45,Agueda_15102017,2017,1486,p,2017-10-16 01:00:00,2017-10-16 02:00:00,289.041667,289.083333,rep,1,3,334.25,334.25,929.840428,1004.032442,9354.948909,9179.467007,2.0,1.0,3,339.99837039877303,-0.959921164042369,0.280270153287044,32.0,6.0,0.0,7.881773399014778,38.17733990147783,26.0,223,17.04642857142857,0.174477415205244,0.247531453136934,0.083606621371597,0.137797087302793,0.194010504688397,0.286184383259521,18.281148017253248,9.486568502590526,56.6432288497586,910.8505247756846,968.2629752561343,4762.874496172075,13.132646411606009,6369.988256604356,2.024667862542684,35.05844168413655,1023.7454101955312,88.3034399158427,6.918214601521662,-0.760933147904928,-0.648830289381975,18.782212471455487,-0.57345351377876,-0.819238101857325,2.52823746e-07,2.53819391e-07,19.44385554873208,14.167464055484444,4.118128330399076,-14.153014629851645,-38.73351538328918,55.73479667835384,49.78854602057677,56.356239314418104,62.3989715610674,104.48731513045466,22.40268639553962,46.02697462667132,58.784373324177324,63.85706411017911,39.79576589217898,-0.544596602288955,-0.838698122553834,-0.469137827545687,-0.883124962146192,-0.346607989011232,-0.938010075614111,-0.431770656965137,-0.901983425448546,-0.918650011422561,-0.395072343392105,0.141937311806821,0.142643610235385,0.105813664730316,-0.066629904099795,0.041185221950788,5914.591827795103,15197.89139161635,31030.613677000583,56886.45500119457,93099.24679087228,-14.357108636529276,-5.757309753708619,-6.466570788426909,-7.13472269829923,-6.851528347521201,-83.50791144111224,0.00653344255808,0.999978656836405,19.854730902177508,-0.001858925427462,0.999998272196635,10.854178110499223,-0.000603788958601,0.99999981771943,112.39183467441403,-0.002370658941459,0.999997189984144,3413.205540814332,83.5701407780165,0.4313423557068,0.5372491362081,83.5992156995371,4.956848783564244,,433.48161924915286,47.75806200173895,848.9615229224576,,722.7328073160775,,16.29826369701755,11750.252023610596,1.033967130788736,1626.801698,480.0,6.912775100569184,1004.032442,7.218149185180664,1362.9622815256992,358.9298395256992,35.74882887356933,35.74882887356933,True,0.29961243,-0.19265644,0.22880203,0.17803153,-0.03703343,0.1761305,0.105366215,-0.13367401,-0.05494742,-0.15299183,0.33211672
