iteration,added_feature,R2,MAE_linear,AIC
1,duration_p,0.1832647956538649,611.3707864453677,-32.723873284603826
2,DC_12h_av_log,0.316529975507695,555.2563167259669,-239.6728685031333
3,HDW_av_log,0.379061297150617,536.307673974464,-350.22272219811873
4,3_8y_fir_p_log,0.4042925691798458,526.4874520096998,-396.88194248258105
5,gT_8_7_av,0.4185303281369319,514.4670579170349,-423.25780139644434
6,Cape_av_log,0.44012733291764483,505.4546106887248,-465.65519208441907
7,wv_850_av,0.44886372466644586,496.051927970928,-482.1032861714228
8,wdi_950_av,0.459855115288777,494.62071800203313,-503.7330118065405
9,f_load_av_log,0.4687965955550719,487.56053759806866,-521.3131987425113
10,wSv_9_av_log,0.47554124916173035,488.75623725692463,-534.3020591304902
11,f_start_log,0.4803052840716606,488.5391728282813,-543.0059487493605
12,wv_300_av_log,0.4844891579478098,486.0980966114189,-550.4875647251588
13,vwv_950_av,0.4890126049048875,482.78348316856676,-558.8256976794238
14,gT_9_8_av,0.49213767691457444,481.0134326611129,-564.0215007458557
15,wSdir_5_av_log,0.4958952239854676,479.3702764828828,-570.7325012801854
16,landform,0.49831864575582985,479.96740597066,-574.3851527778955
17,aspect_av,0.5006000592958085,478.3780097564125,-577.7315771467923
18,wSdir_9_av_log,0.5027742932137962,477.13726084134305,-580.8496080509435
19,wv100_k_av_log,0.5050141399452788,474.33894454973176,-584.145544455654
20,fuel_model,0.5068508303393855,473.6283169693015,-586.5061637002874
21,wv_700_av,0.5085747237235612,471.38470651932846,-588.613784031832
22,wSv_7_av_log,0.5120266501389656,467.7977951069558,-594.8823814013449
23,wv_950_av,0.5143210943038519,469.21324908727917,-598.4108192435851
24,vwv_500_av,0.5165669570494672,465.99490862379116,-601.8475527816494
25,sW_289_av,0.5183955396587254,464.47048307479184,-604.292830732788
26,LCL_m_av_log,0.5210975722680831,463.2301011106553,-608.8924556828366
27,8_ny_fir_p_log,0.5243352115206519,459.24664438415306,-614.8494970347876
28,rh_950_av_log,0.5274411644391557,455.6930875100258,-620.5339624097961
29,t_700_av_log,0.530184343497841,453.6350590986597,-625.3630057497518
30,t_850_av_log,0.5377635606758021,453.62171340536526,-642.4405181725884
31,VentIdx_av_log,0.5407656253341021,451.5975105740445,-648.083591071979
32,dfmc_av_log,0.5430757950814779,451.2096172232532,-651.9992369382161
33,gp_m2s2_av_log,0.5468166830950957,450.0612027726937,-659.6422433906048
34,rh_300_av_log,0.5487728912368219,449.341571998324,-662.7165673115743
35,Haines_av,0.5508206165543971,448.6567669690411,-666.0519040942439
36,rh_500_av,0.5522871227590433,447.5754387857846,-667.8878460160886
37,wSv_1_av,0.5537456338021128,446.06103137084466,-669.7153575587046
38,gp_850_av_log,0.5551699886818176,444.9424157286234,-671.4653272338915
39,gp_950_av,0.5569058164880576,444.9342247561554,-674.0515939950205
40,t_950_av_log,0.5592343563840396,442.2166509716025,-678.2321749726016
41,elev_av,0.5610356546702174,439.02481975230137,-681.0357530455327
42,gp_700_av,0.5622819037091059,438.6623322861978,-682.3707145730411
43,rh_700_av_log,0.5642215732628848,439.00775861988467,-685.5802055471187
44,MidCC_p_av_log,0.5657618724456237,438.1746828173858,-687.7336272726282
45,FWI_12h_av_log,0.5670844540811818,438.11303928457465,-689.3117461434393
46,1_3y_fir_p_log,0.5681132654748101,437.37103132582143,-690.1026646257981
47,wdi_700_av_log,0.5689802959641199,437.7427646551192,-690.4598775535719
48,gT_5_3_av_log,0.5702293347401406,438.0722059812022,-691.8640130197906
49,t_2m_C_av_log,0.5711950851010075,437.1605295002663,-692.5028620093054
50,BLH_m_av_log,0.5734183511915281,436.13350867124234,-696.600449012414
51,CMLG_av,0.5741852349865864,437.2320610142837,-696.7110982824576
52,sW_7_av_log,0.574986362217653,436.84691827972114,-696.9200572609473
53,sW_28_av,0.5764000996067722,435.1667092956005,-698.8283510059136
54,wv_500_av,0.5772017124800697,434.7979494644364,-699.0502181954822
55,wSv_5_av,0.5781783098592901,433.7189558489843,-699.7627972644842
56,d_2m_C_av_log,0.5786272167855457,433.9263653486825,-699.011780484577
57,wv10_kh_av,0.579207809196693,432.8662265640895,-698.6291239438294
58,wSdir_1_av_log,0.5797098906622171,432.3012635396944,-698.0295615203104
59,HigCC_p_av_log,0.5802611309761267,431.3647557181381,-697.5690440802827
60,VPD_Pa_av_log,0.5808637354421511,431.5055006083217,-697.2542893138927
61,rh_2m_av_log,0.5819776164141908,432.0659194526611,-698.3757601465521
62,LowCC_p_av,0.5827721038468032,431.81392177036565,-698.6072686228122
63,wdi_300_av,0.5833091758818758,431.1342050443326,-698.1181726688011
64,Recirc,0.5838184488301994,431.1572700373866,-697.552671544162
65,CircVar_log,0.5851731792922993,430.96522462675085,-699.3771823278555
66,wdir100_av_log,0.5857108768061476,430.9573899743805,-698.898608316115
67,TotCC_p_av_log,0.586266869126967,430.8054832211369,-698.473877790177
68,FFMC_12h_a_log,0.5868322880612913,429.71437976124935,-698.0780278381413
69,sW_100_av,0.5873058823693538,429.98917820017834,-697.4233525991656
70,gp_300_av_log,0.5876758435266543,430.436520090766,-696.4753643672035
71,t_300_av_log,0.5915922796307691,429.25019516877273,-705.6702857534736
72,gp_500_av,0.5937743579750938,428.4067980114633,-709.9543004713948
73,t_500_av,0.5949682022578491,426.9432274141228,-711.4066703010311
74,gT_7_5_av_log,0.5955342726552935,426.79188176638525,-711.0471958464631
75,sW_3m_av_log,0.5958964318825243,426.84112731432356,-710.0979723336089
76,sW_1m_av,0.596573112572345,426.9412232128705,-710.0638341274126
77,vwv_300_av_log,0.5968307838215591,426.57120983767777,-708.8132758473974
78,wSdir_7_av,0.5970708400978929,426.40824305559573,-707.511915191724
79,wdi_500_av,0.5973071425665376,426.87163489653506,-706.2000364140958
80,wdir10_av,0.5975779689442644,426.74711747257766,-704.9891892607204
81,BLH_m_rt,0.5977942239136436,427.2180952782944,-703.6197095657311
82,vwv_700_av,0.5980268955554082,427.1511683045901,-702.2984735820785
83,LiftIdx_av_log,0.5981425933798021,427.33057354894197,-700.6361406576203
84,wdi_850_av,0.5982307137679772,427.36302449870294,-698.8933875028607
85,rh_850_av,0.5983175740509801,427.3662036999489,-697.1470109896607
86,land_use,0.5983962486936591,427.39779050830884,-695.3767805506732
87,vwv_850_av_log,0.5984524153616227,427.21128209141585,-693.5408430347408
88,LCL_hPa_av_log,0.5984791162353063,427.275153421096,-691.6188441668351
89,sP_hPa_av_log,0.5985169829003982,427.1823371400076,-689.7294727656199
90,CCL_hPa_av_log,0.5985280447407089,427.03256293159046,-687.7617922334158
